Date,CountryCode,NumberOfFans
2018-09-28,KM,4692
2018-09-28,MA,12159
2018-09-28,MG,71136
2018-09-28,ML,39481
2018-09-28,MQ,5328
2018-09-28,MR,3952
2018-09-28,MU,23658
2018-09-28,NC,4902
2018-09-28,NE,10087
2018-09-28,PF,5040
2018-09-28,RE,20535
2018-09-28,RW,1532
2018-09-28,SN,81487
2018-09-28,TD,3204
2018-09-28,TG,9699
2018-09-28,TN,17420
2018-09-28,US,10957
2018-09-28,YT,1927
2018-09-28,ZA,2359
2018-09-29,AO,5732
2018-09-29,BE,10009
2018-09-29,BF,42000
2018-09-29,BI,3097
2018-09-29,BJ,13045
2018-09-29,CA,10249
2018-09-29,CD,48490
2018-09-29,CF,4692
2018-09-29,CG,17983
2018-09-29,CH,1646
2018-09-29,CI,108596
2018-09-29,CM,98964
2018-09-29,CN,1477
2018-09-29,DE,3103
2018-09-29,DJ,3243
2018-09-29,DZ,38323
2018-09-29,ES,2435
2018-09-29,FR,71024
2018-09-29,GA,23151
2018-09-29,GB,1935
2018-09-29,GF,1650
2018-09-29,GH,2257
2018-09-29,GN,35547
2018-09-29,GP,5270
2018-09-29,HT,22351
2018-09-29,IT,6637
2018-09-29,KM,4714
2018-09-29,MA,12168
2018-09-29,MG,71226
2018-09-29,ML,39546
2018-09-29,MQ,5334
2018-09-29,MR,3963
2018-09-29,MU,23673
2018-09-29,NC,4907
2018-09-29,NE,10101
2018-09-29,PF,5046
2018-09-29,RE,20552
2018-09-29,RW,1535
2018-09-29,SN,81600
2018-09-29,TD,3205
2018-09-29,TG,9706
2018-09-29,TN,17447
2018-09-29,US,10969
2018-09-29,YT,1933
2018-09-29,ZA,2364
2018-09-30,AO,5751
2018-09-30,BE,10031
2018-09-30,BF,42067
2018-09-30,BI,3100
2018-09-30,BJ,13067
2018-09-30,CA,10263
2018-09-30,CD,48577
2018-09-30,CF,4699
2018-09-30,CG,18014
2018-09-30,CH,1644
2018-09-30,CI,108739
2018-09-30,CM,99111
2018-09-30,CN,1482
2018-09-30,DE,3113
2018-09-30,DJ,3246
2018-09-30,DZ,38355
2018-09-30,ES,2437
2018-09-30,FR,71154
2018-09-30,GA,23195
2018-09-30,GB,1943
2018-09-30,GF,1646
2018-09-30,GH,2262
2018-09-30,GN,35605
2018-09-30,GP,5279
2018-09-30,HT,22380
2018-09-30,IT,6640
2018-09-30,KM,4726
2018-09-30,MA,12177
2018-09-30,MG,71290
