Date,Language,CountryCode,NumberOfFans
2018-10-03,ff,NG,282
2018-10-03,fi,FI,17
2018-10-03,fr,CA,12057
2018-10-03,fr,FR,867852
2018-10-03,ha,NG,50
2018-10-03,he,IL,35
2018-10-03,hi,IN,51
2018-10-03,ht,HT,297
2018-10-03,hu,HU,19
2018-10-03,id,ID,133
2018-10-03,it,IT,2746
2018-10-03,ja,JP,15
2018-10-03,mg,MG,569
2018-10-03,nb,NO,36
2018-10-03,nl,BE,60
2018-10-03,nl,NL,325
2018-10-03,pl,PL,41
2018-10-03,pt,BR,1555
2018-10-03,pt,PT,2734
2018-10-03,ro,RO,151
2018-10-03,ru,RU,113
2018-10-03,rw,RW,45
2018-10-03,so,SO,23
2018-10-03,sq,AL,22
2018-10-03,sv,SE,116
2018-10-03,sw,KE,154
2018-10-03,ta,IN,14
2018-10-03,th,TH,56
2018-10-03,tr,TR,121
2018-10-03,tz,MA,32
2018-10-03,vi,VN,26
2018-10-03,zh,CN,45
2018-10-04,af,ZA,18
2018-10-04,ar,AR,4609
2018-10-04,az,AZ,21
2018-10-04,bg,BG,20
2018-10-04,bn,IN,37
2018-10-04,ca,ES,16
2018-10-04,da,DK,38
2018-10-04,de,DE,1070
2018-10-04,el,GR,42
2018-10-04,en,GB,10238
2018-10-04,en,US,38061
2018-10-04,es,ES,1341
2018-10-04,es,LA,1971
2018-10-04,fa,IR,14
2018-10-04,ff,NG,282
2018-10-04,fi,FI,17
2018-10-04,fr,CA,12075
2018-10-04,fr,FR,869133
2018-10-04,ha,NG,50
2018-10-04,he,IL,35
2018-10-04,hi,IN,51
2018-10-04,ht,HT,296
2018-10-04,hu,HU,19
2018-10-04,id,ID,133
2018-10-04,it,IT,2752
2018-10-04,ja,JP,15
2018-10-04,mg,MG,570
2018-10-04,nb,NO,36
2018-10-04,nl,BE,60
2018-10-04,nl,NL,325
2018-10-04,pl,PL,41
2018-10-04,pt,BR,1559
2018-10-04,pt,PT,2739
2018-10-04,ro,RO,151
2018-10-04,ru,RU,113
2018-10-04,rw,RW,45
2018-10-04,so,SO,24
2018-10-04,sq,AL,22
2018-10-04,sv,SE,116
2018-10-04,sw,KE,154
2018-10-04,th,TH,56
2018-10-04,tr,TR,121
2018-10-04,tz,MA,32
2018-10-04,vi,VN,26
2018-10-04,zh,CN,45
2018-10-05,af,ZA,19
2018-10-05,ar,AR,4616
2018-10-05,az,AZ,21
2018-10-05,bg,BG,20
2018-10-05,bn,IN,37
2018-10-05,ca,ES,17
2018-10-05,da,DK,39
2018-10-05,de,DE,1070
2018-10-05,el,GR,42
2018-10-05,en,GB,10255
2018-10-05,en,US,38118
2018-10-05,es,ES,1344
2018-10-05,es,LA,1975
2018-10-05,fa,IR,14
2018-10-05,ff,NG,282
2018-10-05,fi,FI,17
2018-10-05,fr,CA,12091
2018-10-05,fr,FR,870447
2018-10-05,ha,NG,50
2018-10-05,he,IL,35
2018-10-05,hi,IN,51
2018-10-05,ht,HT,298
2018-10-05,hu,HU,19
2018-10-05,id,ID,133
2018-10-05,it,IT,2756
2018-10-05,ja,JP,15
2018-10-05,mg,MG,571
2018-10-05,nb,NO,36
2018-10-05,nl,BE,60
2018-10-05,nl,NL,325
2018-10-05,pl,PL,41
2018-10-05,pt,BR,1560
2018-10-05,pt,PT,2743
2018-10-05,ro,RO,151
2018-10-05,ru,RU,113
2018-10-05,rw,RW,45
2018-10-05,so,SO,24
2018-10-05,sq,AL,22
2018-10-05,sv,SE,116
2018-10-05,sw,KE,154
2018-10-05,th,TH,56
2018-10-05,tr,TR,121
2018-10-05,tz,MA,32
2018-10-05,vi,VN,26
2018-10-05,zh,CN,45
2018-10-06,af,ZA,20
2018-10-06,ar,AR,4624
2018-10-06,az,AZ,22
2018-10-06,bg,BG,20
2018-10-06,bn,IN,37
2018-10-06,ca,ES,17
2018-10-06,da,DK,39
2018-10-06,de,DE,1075
2018-10-06,el,GR,42
2018-10-06,en,GB,10274
2018-10-06,en,US,38195
2018-10-06,es,ES,1346
2018-10-06,es,LA,1979
2018-10-06,fa,IR,14
2018-10-06,ff,NG,283
2018-10-06,fi,FI,17
2018-10-06,fr,CA,12103
2018-10-06,fr,FR,871657
2018-10-06,ha,NG,50
2018-10-06,he,IL,35
2018-10-06,hi,IN,51
2018-10-06,ht,HT,298
2018-10-06,hu,HU,19
2018-10-06,id,ID,134
2018-10-06,it,IT,2760
2018-10-06,ja,JP,14
2018-10-06,mg,MG,573
2018-10-06,nb,NO,36
2018-10-06,nl,BE,62
2018-10-06,nl,NL,326
2018-10-06,pl,PL,41
2018-10-06,pt,BR,1566
2018-10-06,pt,PT,2754
2018-10-06,ro,RO,151
2018-10-06,ru,RU,113
2018-10-06,rw,RW,45
2018-10-06,so,SO,24
2018-10-06,sq,AL,22
2018-10-06,sv,SE,117
2018-10-06,sw,KE,155
2018-10-06,th,TH,56
2018-10-06,tr,TR,122
2018-10-06,tz,MA,32
2018-10-06,vi,VN,26
2018-10-06,zh,CN,45
2018-10-07,af,ZA,20
2018-10-07,ar,AR,4627
2018-10-07,az,AZ,22
2018-10-07,bg,BG,20
2018-10-07,bn,IN,37
2018-10-07,ca,ES,17
2018-10-07,da,DK,39
2018-10-07,de,DE,1067
2018-10-07,el,GR,42
2018-10-07,en,GB,10284
2018-10-07,en,US,38137
2018-10-07,es,ES,1342
2018-10-07,es,LA,1960
2018-10-07,fa,IR,14
2018-10-07,ff,NG,280
2018-10-07,fi,FI,17
2018-10-07,fr,CA,12133
2018-10-07,fr,FR,873391
2018-10-07,ha,NG,48
2018-10-07,he,IL,35
2018-10-07,hi,IN,50
2018-10-07,ht,HT,299
2018-10-07,hu,HU,19
2018-10-07,id,ID,132
2018-10-07,it,IT,2761
2018-10-07,mg,MG,578
2018-10-07,nb,NO,36
2018-10-07,nl,BE,61
2018-10-07,nl,NL,327
2018-10-07,pl,PL,41
2018-10-07,pt,BR,1554
2018-10-07,pt,PT,2770
2018-10-07,ro,RO,151
2018-10-07,ru,RU,112
2018-10-07,rw,RW,44
2018-10-07,so,SO,25
2018-10-07,sq,AL,22
2018-10-07,sv,SE,117
2018-10-07,sw,KE,156
2018-10-07,ta,IN,14
2018-10-07,th,TH,56
2018-10-07,tr,TR,122
2018-10-07,tz,MA,32
2018-10-07,vi,VN,23
2018-10-07,zh,CN,44
2018-10-08,af,ZA,20
2018-10-08,ar,AR,4631
2018-10-08,az,AZ,22
2018-10-08,bg,BG,20
2018-10-08,bn,IN,37
2018-10-08,ca,ES,17
2018-10-08,da,DK,39
2018-10-08,de,DE,1069
2018-10-08,el,GR,42
2018-10-08,en,GB,10317
2018-10-08,en,US,38221
2018-10-08,es,ES,1346
2018-10-08,es,LA,1970
2018-10-08,fa,IR,14
2018-10-08,ff,NG,283
2018-10-08,fi,FI,17
2018-10-08,fr,CA,12147
2018-10-08,fr,FR,875011
2018-10-08,ha,NG,48
2018-10-08,he,IL,35
2018-10-08,hi,IN,50
2018-10-08,ht,HT,299
2018-10-08,hu,HU,19
2018-10-08,id,ID,132
2018-10-08,it,IT,2766
2018-10-08,mg,MG,581
2018-10-08,nb,NO,36
2018-10-08,nl,BE,62
2018-10-08,nl,NL,328
2018-10-08,pl,PL,41
2018-10-08,pt,BR,1559
2018-10-08,pt,PT,2772
2018-10-08,ro,RO,151
2018-10-08,ru,RU,112
2018-10-08,rw,RW,44
2018-10-08,so,SO,25
2018-10-08,sq,AL,22
2018-10-08,sv,SE,117
2018-10-08,sw,KE,157
2018-10-08,ta,IN,14
2018-10-08,th,TH,56
2018-10-08,tr,TR,122
2018-10-08,tz,MA,33
2018-10-08,vi,VN,24
2018-10-08,zh,CN,44
2018-10-09,af,ZA,20
2018-10-09,ar,AR,4637
2018-10-09,az,AZ,20
2018-10-09,bg,BG,20
2018-10-09,bn,IN,37
2018-10-09,ca,ES,17
2018-10-09,da,DK,40
2018-10-09,de,DE,1074
2018-10-09,el,GR,42
2018-10-09,en,GB,10322
2018-10-09,en,US,38281
2018-10-09,es,ES,1345
2018-10-09,es,LA,1984
2018-10-09,ff,NG,282
2018-10-09,fi,FI,17
2018-10-09,fr,CA,12165
2018-10-09,fr,FR,876525
2018-10-09,ha,NG,50
2018-10-09,he,IL,35
2018-10-09,hi,IN,51
2018-10-09,ht,HT,302
2018-10-09,hu,HU,19
2018-10-09,id,ID,131
2018-10-09,it,IT,2769
2018-10-09,ja,JP,14
2018-10-09,mg,MG,585
2018-10-09,nb,NO,36
2018-10-09,nl,BE,62
2018-10-09,nl,NL,328
2018-10-09,pl,PL,41
