CreatedTime,EngagedFans,Impressions,NegativeFeedback,NonViralimpressions,NonViralReach,PostActivity,PostActivityUnique,PostClicks,UniquePostClicks,PostReactionsAnger,PostReactionsHaHa,PostReactionsLike,PostReactionsLove,PostReactionsSorry,PostReactionsWow,Reach
2018-08-10 14:01:00,5500,308994,10,83178,60442,11618,9520,6749,5841,2,3,8090,295,2,2,218001
2018-08-10 15:00:00,3289,185910,5,68692,51615,5903,4616,3900,3319,0,3,3968,153,7,3,133527
2018-08-10 16:00:00,963,51934,2,34522,25071,925,738,875,801,0,3,564,12,4,3,35667
2018-08-10 17:02:00,5466,314122,8,83824,60052,12419,9927,6368,5597,2,6,8568,319,1,4,220368
2018-08-10 18:00:00,1495,86114,4,41944,30311,2566,2107,1323,1191,0,0,1715,72,0,1,59795
2018-08-10 18:30:00,5572,381037,11,107263,76102,11655,9114,8805,7624,2,11,7330,340,3,6,248980
2018-08-10 19:00:00,2335,127706,2,52579,38572,3462,2847,2473,2196,0,1,2296,75,0,0,91120
2018-08-10 19:30:00,1221,63533,2,37781,27510,1430,1203,1090,995,0,0,931,47,2,0,45718
2018-08-10 20:00:00,14197,748864,27,155763,109535,28582,25222,23431,20312,4,48,21419,1130,2,42,515474
2018-08-10 20:30:00,6585,414564,12,90973,64706,17218,14118,10023,8653,1,3,12131,325,6,5,287992
2018-08-10 21:00:00,699,38192,1,28875,20593,748,616,490,449,0,1,493,16,0,1,26749
2018-08-10 22:00:00,1370,83083,2,37663,26521,2268,1808,1564,1360,1,1,1442,58,0,1,57499
2018-08-10 22:30:00,5412,287829,7,83328,60183,10372,8176,6226,5503,2,6,7008,303,3,17,196584
2018-08-10 23:00:00,1026,60592,3,30854,22001,1537,1245,1150,1033,0,0,991,64,0,0,42376
2018-09-10 05:00:00,2933,163807,7,58264,42314,5647,4655,3036,2648,1,1,3762,104,1,2,118386
2018-09-10 05:15:00,6297,366899,21,97890,68944,14799,12540,8511,7073,1,10,11207,283,2,15,253333
2018-09-10 05:30:00,2591,128348,8,49972,34628,4933,4165,2384,2149,0,1,3275,142,3,0,85872
2018-09-10 05:45:00,1628,82783,5,32154,22114,3348,2765,1275,1122,0,0,2355,115,0,0,57783
