Date,NewLikes,DailyPostsReach,WeeklyPostShares,DailyPostShares,DailyPageActions,DailyPostsImpression
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-29,1556,1644077,531604,106294,36,5673416
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-09-30,1475,1593899,524833,97375,47,5615209
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-01,1485,1680033,506652,109284,41,6227197
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
2018-10-02,1570,1604910,519518,108324,51,6134215
