Date,City,CountryCode,NumberOfFans
9/28/2018,Paris,FR,16424
9/28/2018,Pointe-Noire,CD,6420
9/28/2018,Port-Louis,MU,7407
9/28/2018,Port-au-Prince,HT,11226
9/28/2018,Brussels,BE,2606
9/28/2018,Saint-Denis (La Reunion),RE,3764
9/28/2018,Saint-Louis,SN,2308
9/28/2018,Tananarive,MG,7285
9/28/2018,Thies,SN,3879
9/28/2018,Tizi Ouzou,DZ,2549
9/28/2018,Tunis,TN,6660
9/28/2018,Yaounde,CM,20771
9/29/2018,Abidjan,CI,84430
9/29/2018,Alger,DZ,10374
9/29/2018,Antananarivo,MG,38400
9/29/2018,Bamako,ML,31132
9/29/2018,Bangui,CF,4393
9/29/2018,Bobo-Dioulasso,BF,4796
9/29/2018,Bouake ,CI,3355
9/29/2018,Brazzaville,CD,10271
9/29/2018,Bujumbura,BI,2562
9/29/2018,Bejaia,DZ,2329
9/29/2018,Casablanca,MA,3950
9/29/2018,Cocody,CI,3517
9/29/2018,Conakry,GN,30587
9/29/2018,Cotonou,BJ,9328
9/29/2018,Dakar,SN,51756
9/29/2018,Djibouti (ville),DJ,3136
9/29/2018,Douala,CM,45193
9/29/2018,Fianarantsoa,MG,2359
9/29/2018,Jaunde,CM,11958
9/29/2018,Kinshasa,CD,32049
9/29/2018,Libreville,GA,19245
9/29/2018,Lome,TG,8941
9/29/2018,Luanda,AO,4603
9/29/2018,Lubumbashi,CD,5553
9/29/2018,Montreal,CA,2884
9/29/2018,Moroni,KM,3027
9/29/2018,N'Djamena,TD,2880
9/29/2018,Ngaoundere,CM,2313
9/29/2018,Niamey,NE,7823
9/29/2018,Nouakchott,MR,3401
9/29/2018,Noumea,NC,2961
9/29/2018,Oran,DZ,3078
9/29/2018,Ouagadougou,BF,30930
9/29/2018,Paris,FR,16435
9/29/2018,Pointe-Noire,CD,6428
9/29/2018,Port-Louis,MU,7409
9/29/2018,Port-au-Prince,HT,11245
9/29/2018,Brussels,BE,2608
9/29/2018,Saint-Denis (La Reunion),RE,3763
9/29/2018,Saint-Louis,SN,2309
9/29/2018,Tananarive,MG,7296
9/29/2018,Thies,SN,3889
9/29/2018,Tizi Ouzou,DZ,2551
9/29/2018,Tunis,TN,6673
9/29/2018,Yaounde,CM,20795
9/30/2018,Abidjan,CI,84266
9/30/2018,Alger,DZ,10477
9/30/2018,Antananarivo,MG,38355
9/30/2018,Bamako,ML,31064
9/30/2018,Bangui,CF,4394
9/30/2018,Bobo-Dioulasso,BF,4831
9/30/2018,Bouake ,CI,3376
9/30/2018,Brazzaville,CD,10302
9/30/2018,Bujumbura,BI,2563
9/30/2018,Bejaia,DZ,2301
9/30/2018,Casablanca,MA,3951
9/30/2018,Cocody,CI,3647
9/30/2018,Conakry,GN,30511
9/30/2018,Cotonou,BJ,9345
9/30/2018,Dakar,SN,51722
9/30/2018,Djibouti (ville),DJ,3141
9/30/2018,Douala,CM,44928
9/30/2018,Fianarantsoa,MG,2366
9/30/2018,Jaunde,CM,12282
9/30/2018,Kinshasa,CD,32103
9/30/2018,Libreville,GA,19250
9/30/2018,Lome,TG,8929
9/30/2018,Luanda,AO,4614
9/30/2018,Lubumbashi,CD,5570
9/30/2018,Montreal,CA,2887
9/30/2018,Moroni,KM,3033
9/30/2018,N'Djamena,TD,2888
9/30/2018,Ngaoundere,CM,2318
9/30/2018,Niamey,NE,7831
9/30/2018,Nouakchott,MR,3399
9/30/2018,Noumea,NC,2961
9/30/2018,Oran,DZ,2920
9/30/2018,Ouagadougou,BF,30764
9/30/2018,Paris,FR,16531
9/30/2018,Pointe-Noire,CD,6422
9/30/2018,Port-Louis,MU,7410
9/30/2018,Port-au-Prince,HT,11246
9/30/2018,Brussels,BE,2607
9/30/2018,Saint-Denis (La Reunion),RE,3775
9/30/2018,Saint-Louis,SN,2306
9/30/2018,Tananarive,MG,7337
9/30/2018,Thies,SN,3900
9/30/2018,Tizi Ouzou,DZ,2524
9/30/2018,Tunis,TN,6701
9/30/2018,Yaounde,CM,20818
10/1/2018,Abidjan,CI,84380
10/1/2018,Alger,DZ,10492
10/1/2018,Antananarivo,MG,38401
10/1/2018,Bamako,ML,31106
10/1/2018,Bangui,CF,4398
10/1/2018,Bobo-Dioulasso,BF,4835
10/1/2018,Bouake ,CI,3383
10/1/2018,Brazzaville,CD,10322
10/1/2018,Bujumbura,BI,2566
10/1/2018,Bejaia,DZ,2303
10/1/2018,Casablanca,MA,3957
10/1/2018,Cocody,CI,3651
10/1/2018,Conakry,GN,30563
10/1/2018,Cotonou,BJ,9359
10/1/2018,Dakar,SN,51775
10/1/2018,Djibouti (ville),DJ,3145
10/1/2018,Douala,CM,44991
10/1/2018,Fianarantsoa,MG,2366
10/1/2018,Jaunde,CM,12301
10/1/2018,Kinshasa,CD,32174
10/1/2018,Libreville,GA,19284
10/1/2018,Lome,TG,8941
10/1/2018,Luanda,AO,4622
10/1/2018,Lubumbashi,CD,5576
10/1/2018,Montreal,CA,2891
10/1/2018,Moroni,KM,3045
10/1/2018,N'Djamena,TD,2891
10/1/2018,Ngaoundere,CM,2321
10/1/2018,Niamey,NE,7837
10/1/2018,Nouakchott,MR,3401
10/1/2018,Noumea,NC,2965
10/1/2018,Oran,DZ,2921
10/1/2018,Ouagadougou,BF,30806
10/1/2018,Paris,FR,16548
10/1/2018,Pointe-Noire,CD,6431
10/1/2018,Port-Louis,MU,7418
10/1/2018,Port-au-Prince,HT,11268
10/1/2018,Brussels,BE,2609
10/1/2018,Saint-Denis (La Reunion),RE,3773
10/1/2018,Saint-Louis,SN,2306
10/1/2018,Tananarive,MG,7341
10/1/2018,Thies,SN,3902
10/1/2018,Tizi Ouzou,DZ,2530
10/1/2018,Tunis,TN,6701
10/1/2018,Yaounde,CM,20844
10/2/2018,Abidjan,CI,84172
10/2/2018,Alger,DZ,10506
10/2/2018,Antananarivo,MG,38370
10/2/2018,Bamako,ML,31095
10/2/2018,Bangui,CF,4398
10/2/2018,Bobo-Dioulasso,BF,4874
10/2/2018,Bouake ,CI,3414
10/2/2018,Brazzaville,CD,10323
10/2/2018,Bujumbura,BI,2568
10/2/2018,Bejaia,DZ,2321
10/2/2018,Casablanca,MA,3949
10/2/2018,Cocody,CI,3801
10/2/2018,Conakry,GN,30528
10/2/2018,Cotonou,BJ,9396
10/2/2018,Dakar,SN,51815
10/2/2018,Djibouti (ville),DJ,3144
10/2/2018,Douala,CM,45114
10/2/2018,Fianarantsoa,MG,2368
10/2/2018,Jaunde,CM,12181
10/2/2018,Kinshasa,CD,32269
10/2/2018,Libreville,GA,19285
10/2/2018,Lome,TG,8927
10/2/2018,Luanda,AO,4639
10/2/2018,Lubumbashi,CD,5588
10/2/2018,Montreal,CA,2883
10/2/2018,Moroni,KM,3051
10/2/2018,N'Djamena,TD,2898
10/2/2018,Ngaoundere,CM,2330
10/2/2018,Niamey,NE,7843
10/2/2018,Nouakchott,MR,3406
10/2/2018,Noumea,NC,2960
10/2/2018,Oran,DZ,2934
10/2/2018,Ouagadougou,BF,30628
10/2/2018,Paris,FR,16632
10/2/2018,Pointe-Noire,CD,6435
10/2/2018,Port-Louis,MU,7408
10/2/2018,Port-au-Prince,HT,11299
10/2/2018,Brussels,BE,2609
10/2/2018,Saint-Denis (La Reunion),RE,3762
10/2/2018,Saint-Louis,SN,2314
10/2/2018,Tananarive,MG,7389
10/2/2018,Thies,SN,3917
10/2/2018,Tizi Ouzou,DZ,2529
10/2/2018,Tunis,TN,6711
10/2/2018,Yaounde,CM,21050
10/3/2018,Abidjan,CI,83655
10/3/2018,Alger,DZ,10510
10/3/2018,Antananarivo,MG,38294
10/3/2018,Bamako,ML,31043
10/3/2018,Bangui,CF,4405
10/3/2018,Bobo-Dioulasso,BF,4938
10/3/2018,Bouake ,CI,3507
10/3/2018,Brazzaville,CD,10344
10/3/2018,Bujumbura,BI,2574
10/3/2018,Bejaia,DZ,2325
10/3/2018,Casablanca,MA,3960
10/3/2018,Cocody,CI,4009
10/3/2018,Conakry,GN,30422
10/3/2018,Cotonou,BJ,9417
10/3/2018,Dakar,SN,51794
10/3/2018,Djibouti (ville),DJ,3155
10/3/2018,Douala,CM,45163
10/3/2018,Fianarantsoa,MG,2374
10/3/2018,Jaunde,CM,12196
10/3/2018,Kinshasa,CD,32312
10/3/2018,Libreville,GA,19240
10/3/2018,Lome,TG,8904
10/3/2018,Luanda,AO,4638
10/3/2018,Lubumbashi,CD,5602
10/3/2018,Montreal,CA,2898
10/3/2018,Moroni,KM,3054
10/3/2018,N'Djamena,TD,2897
10/3/2018,Ngaoundere,CM,2333
10/3/2018,Niamey,NE,7841
10/3/2018,Nouakchott,MR,3383
10/3/2018,Noumea,NC,2969
10/3/2018,Oran,DZ,2917
10/3/2018,Ouagadougou,BF,30293
10/3/2018,Paris,FR,16923
10/3/2018,Pointe-Noire,CD,6425
10/3/2018,Port-Louis,MU,7398
10/3/2018,Port-au-Prince,HT,11311
10/3/2018,Brussels,BE,2634
10/3/2018,Saint-Denis (La Reunion),RE,3759
10/3/2018,Saint-Louis,SN,2340
10/3/2018,Tananarive,MG,7508
10/3/2018,Thies,SN,3919
10/3/2018,Tizi Ouzou,DZ,2531
10/3/2018,Tunis,TN,6720
10/3/2018,Yaounde,CM,21060
10/4/2018,Abidjan,CI,83795
10/4/2018,Alger,DZ,10516
10/4/2018,Antananarivo,MG,38326
10/4/2018,Bamako,ML,31076
10/4/2018,Bangui,CF,4413
10/4/2018,Bobo-Dioulasso,BF,4950
10/4/2018,Bouake ,CI,3514
10/4/2018,Brazzaville,CD,10370
10/4/2018,Bujumbura,BI,2581
10/4/2018,Bejaia,DZ,2328
10/4/2018,Casablanca,MA,3961
10/4/2018,Cocody,CI,4012
10/4/2018,Conakry,GN,30464
10/4/2018,Cotonou,BJ,9426
10/4/2018,Dakar,SN,51863
10/4/2018,Djibouti (ville),DJ,3161
10/4/2018,Douala,CM,45237
10/4/2018,Fianarantsoa,MG,2373
10/4/2018,Jaunde,CM,12217
10/4/2018,Kinshasa,CD,32383
10/4/2018,Libreville,GA,19265
10/4/2018,Lome,TG,8915
10/4/2018,Luanda,AO,4648
10/4/2018,Lubumbashi,CD,5616
10/4/2018,Montreal,CA,2902
10/4/2018,Moroni,KM,3064
10/4/2018,N'Djamena,TD,2901
10/4/2018,Ngaoundere,CM,2335
10/4/2018,Niamey,NE,7851
10/4/2018,Nouakchott,MR,3387
10/4/2018,Noumea,NC,2973
10/4/2018,Oran,DZ,2915
10/4/2018,Ouagadougou,BF,30345
10/4/2018,Paris,FR,16952
